date,prcp,tobs
2011-09-15,0.07428571428571429,75.28571428571429
2011-09-16,0.3528571428571428,76.42857142857143
2011-09-17,0.05142857142857143,76.0
2011-09-18,0.26666666666666666,75.83333333333333
2011-09-19,0.065,75.66666666666667
2011-09-20,0.02125,75.625
2011-09-21,0.054285714285714284,75.0
2011-09-22,0.07571428571428572,74.85714285714286
2011-09-23,0.07142857142857142,73.28571428571429
2011-09-24,0.005,77.66666666666667
2011-09-25,0.0,74.6
2011-09-26,0.0,71.5
2011-09-27,0.0,74.0
2011-09-28,0.037500000000000006,73.75
2011-09-29,0.02,74.85714285714286
2011-09-30,0.030000000000000002,74.85714285714286
2011-10-01,0.028571428571428574,76.71428571428571
2011-10-02,0.004285714285714286,77.28571428571429
2011-10-03,0.0,77.0
2011-10-04,0.12714285714285714,74.28571428571429
2011-10-05,0.052857142857142866,76.28571428571429
2011-10-06,0.1,73.875
2011-10-07,0.09625,75.5
2011-10-08,0.028333333333333335,79.0
2011-10-09,0.05600000000000001,76.6
2011-10-10,0.0033333333333333335,75.66666666666667
2011-10-11,0.052857142857142866,74.28571428571429
2011-10-12,0.002857142857142857,73.0
2011-10-13,0.04,73.71428571428571
2011-10-14,0.10375,73.625
2011-10-15,0.3514285714285714,75.71428571428571
2011-10-16,0.01,76.83333333333333
2011-10-17,0.08499999999999999,71.875
2011-10-18,0.1125,71.0
2011-10-19,0.17875,69.375
2011-10-20,0.04666666666666667,73.11111111111111
2011-10-21,0.06714285714285714,74.28571428571429
2011-10-22,0.10833333333333334,74.83333333333333
2011-10-23,0.608,75.2
2011-10-24,1.5899999999999999,72.2
2011-10-25,0.27666666666666667,73.66666666666667
2011-10-26,0.0071428571428571435,74.0
2011-10-27,0.006666666666666667,70.83333333333333
2011-10-28,0.09500000000000001,72.16666666666667
2011-10-29,0.030000000000000002,74.57142857142857
2011-10-30,0.0942857142857143,73.0
2011-10-31,0.2942857142857143,71.71428571428571
2011-11-01,0.9457142857142857,72.57142857142857
2011-11-02,0.25,72.71428571428571
2011-11-03,0.1771428571428571,74.14285714285714
2011-11-04,0.50125,73.75
2011-11-05,0.055714285714285716,74.42857142857143
2011-11-06,0.046,76.4
2011-11-07,0.02666666666666667,74.66666666666667
2011-11-08,0.07125000000000001,73.375
2011-11-09,0.08000000000000002,73.0
2011-11-10,0.045,73.75
2011-11-11,0.35000000000000003,72.42857142857143
2011-11-12,0.085,73.0
2011-11-13,0.02666666666666667,72.66666666666667
2011-11-14,0.013333333333333334,72.33333333333333
2011-11-15,0.0,71.0
2011-11-16,0.0,72.42857142857143
2011-11-17,0.018750000000000003,73.625
2011-11-18,0.039999999999999994,74.5
2011-11-19,0.09714285714285713,74.71428571428571
2011-11-20,0.08333333333333333,73.5
2011-11-21,0.2514285714285714,74.0
2011-11-22,0.1957142857142857,71.71428571428571
2011-11-23,0.022857142857142854,72.28571428571429
2011-11-24,0.005,72.16666666666667
2011-11-25,0.038571428571428576,70.28571428571429
2011-11-26,0.0033333333333333335,74.5
2011-11-27,0.06,72.5
2011-11-28,0.0014285714285714286,70.57142857142857
2011-11-29,0.0175,69.375
2011-11-30,0.2175,67.125
2011-12-01,0.06375,68.75
2011-12-02,0.205,69.125
2011-12-03,0.03571428571428571,72.42857142857143
2011-12-04,0.008571428571428572,72.28571428571429
2011-12-05,0.02875,71.375
2011-12-06,0.01625,71.125
2011-12-07,0.0575,69.75
2011-12-08,0.0825,70.75
2011-12-09,0.08714285714285716,69.14285714285714
2011-12-10,0.14500000000000002,72.66666666666667
2011-12-11,0.6966666666666667,71.66666666666667
2011-12-12,0.5433333333333333,72.5
2011-12-13,1.6437499999999998,70.25
2011-12-14,0.40375000000000005,69.875
2011-12-15,0.2075,71.375
2011-12-16,0.1757142857142857,69.85714285714286
2011-12-17,0.225,70.66666666666667
2011-12-18,0.10166666666666668,71.5
2011-12-19,0.23142857142857146,72.14285714285714
2011-12-20,0.07142857142857142,71.57142857142857
2011-12-21,0.42714285714285716,70.0
2011-12-22,0.09,71.14285714285714
2011-12-23,0.10333333333333333,71.0
2011-12-24,0.19000000000000003,69.16666666666667
2011-12-25,0.12833333333333333,72.83333333333333
2011-12-26,0.016666666666666666,71.83333333333333
2011-12-27,0.025714285714285714,71.57142857142857
2011-12-28,0.018333333333333333,71.0
2011-12-29,0.0033333333333333335,72.66666666666667
2011-12-30,0.011428571428571429,69.71428571428571
2011-12-31,0.06999999999999999,66.42857142857143
2012-01-01,0.01,68.42857142857143
2012-01-02,0.038,65.8
2012-01-03,0.0,65.71428571428571
2012-01-04,0.0125,72.125
2012-01-05,0.045,70.625
2012-01-06,0.0,69.625
2012-01-07,0.0,69.33333333333333
